,title,abstract,refers
44,Multi-dimensional gender bias classification,"Machine learning models are trained to find patterns in data. NLP models can inadvertently
learn socially undesirable patterns when training on gender biased text. In this work, we …",40회 인용
45,Conversations with search engines: SERP-based conversational response generation,"In this article, we address the problem of answering complex information needs by
conducting conversations with search engines, in the sense that users can express their …",36회 인용
46,Bridging the gap between prior and posterior knowledge selection for knowledge-grounded dialogue generation,"Abstract Knowledge selection plays an important role in knowledge-grounded dialogue,
which is a challenging task to generate more informative responses by leveraging external …",34회 인용
47,Crossfit: A few-shot learning challenge for cross-task generalization in nlp,"Humans can learn a new language task efficiently with only few examples, by leveraging
their knowledge obtained when learning prior tasks. In this paper, we explore whether and …",35회 인용
48,Diversifying dialogue generation with non-conversational text,"Neural network-based sequence-to-sequence (seq2seq) models strongly suffer from the low-
diversity problem when it comes to open-domain dialogue generation. As bland and generic …",34회 인용
49,"Open-domain conversational agents: Current progress, open problems, and future directions","We present our view of what is necessary to build an engaging open-domain conversational
agent: covering the qualities of such an agent, the pieces of the puzzle that have been built …",31회 인용
50,Augmenting transformers with KNN-based composite memory for dialog,"Various machine learning tasks can benefit from access to external information of different
modalities, such as text and images. Recent work has focused on learning architectures with …",32회 인용
51,Dialogue transformers,"We introduce a dialogue policy based on a transformer architecture, where the self-attention
mechanism operates over the sequence of dialogue turns. Recent work has used …",32회 인용
52,Policy-driven neural response generation for knowledge-grounded dialogue systems,"Open-domain dialogue systems aim to generate relevant, informative and engaging
responses. Seq2seq neural response generation approaches do not have explicit …",30회 인용
53,Introducing MANtIS: a novel multi-domain information seeking dialogues dataset,"Conversational search is an approach to information retrieval (IR), where users engage in a
dialogue with an agent in order to satisfy their information needs. Previous conceptual work …",31회 인용
54,Beyond goldfish memory: Long-term open-domain conversation,"Despite recent improvements in open-domain dialogue models, state of the art models are
trained and evaluated on short conversations with little context. In contrast, the long-term …",31회 인용
55,Overview of the ninth dialog system technology challenge: Dstc9,"This paper introduces the Ninth Dialog System Technology Challenge (DSTC-9). This
edition of the DSTC focuses on applying end-to-end dialog technologies for four distinct …",34회 인용
56,Generating informative conversational response using recurrent knowledge-interaction and knowledge-copy,"Abstract Knowledge-driven conversation approaches have achieved remarkable research
attention recently. However, generating an informative response with multiple relevant …",28회 인용
57,AdaptSum: Towards low-resource domain adaptation for abstractive summarization,"State-of-the-art abstractive summarization models generally rely on extensive labeled data,
which lowers their generalization ability on domains where such data are not available. In …",31회 인용
58,Like hiking? you probably enjoy nature: Persona-grounded dialog with commonsense expansions,"Existing persona-grounded dialog models often fail to capture simple implications of given
persona descriptions, something which humans are able to do seamlessly. For example …",29회 인용
59,DialogSum: A real-life scenario dialogue summarization dataset,"Proposal of large-scale datasets has facilitated research on deep neural models for news
summarization. Deep learning can also be potentially useful for spoken dialogue …",28회 인용
60,Bridging text and video: A universal multimodal transformer for audio-visual scene-aware dialog,"Audio-Visual Scene-Aware Dialog (AVSD) is a task to generate responses when chatting
about a given video, which is organized as a track of the 8th Dialog System Technology …",33회 인용
61,Qa dataset explosion: A taxonomy of nlp resources for question answering and reading comprehension,"Alongside huge volumes of research on deep learning models in NLP in the recent years,
there has been also much work on benchmark datasets needed to track modeling progress …",29회 인용
62,"A survey of natural language generation techniques with a focus on dialogue systems-past, present and future directions","One of the hardest problems in the area of Natural Language Processing and Artificial
Intelligence is automatically generating language that is coherent and understandable to …",26회 인용
63,A document-grounded matching network for response selection in retrieval-based chatbots,"We present a document-grounded matching network (DGMN) for response selection that
can power a knowledge-aware retrieval-based chatbot system. The challenges of building …",27회 인용
64,Ext5: Towards extreme multi-task scaling for transfer learning,"Despite the recent success of multi-task learning and transfer learning for natural language
processing (NLP), few works have systematically studied the effect of scaling up the number …",28회 인용
65,Exploring controllable text generation techniques,"Neural controllable text generation is an important area gaining attention due to its plethora
of applications. Although there is a large body of prior work in controllable text generation …",25회 인용
66,Plug-and-play conversational models,"There has been considerable progress made towards conversational models that generate
coherent and fluent responses; however, this often involves training large language models …",24회 인용
67,Zero-resource knowledge-grounded dialogue generation,"While neural conversation models have shown great potentials towards generating
informative and engaging responses via introducing external knowledge, learning such a …",28회 인용
68,Dukenet: A dual knowledge interaction network for knowledge-grounded conversation,"Today's conversational agents often generate responses that not sufficiently informative.
One way of making them more informative is through the use of of external knowledge …",25회 인용
69,Controlling style in generated dialogue,"Open-domain conversation models have become good at generating natural-sounding
dialogue, using very large architectures with billions of trainable parameters. The vast …",22회 인용
70,"I like fish, especially dolphins: Addressing contradictions in dialogue modeling","To quantify how well natural language understanding models can capture consistency in a
general conversation, we introduce the DialoguE COntradiction DEtection task (DECODE) …",21회 인용
71,Conversational graph grounded policy learning for open-domain conversation generation,"To address the challenge of policy learning in open-domain multi-turn conversation, we
propose to represent prior information about dialog transitions as a graph and learn a graph …",21회 인용
72,Adding chit-chat to enhance task-oriented dialogues,"Existing dialogue corpora and models are typically designed under two disjoint motives:
while task-oriented systems focus on achieving functional goals (eg, booking hotels), open …",23회 인용
73,Learning a simple and effective model for multi-turn response generation with auxiliary tasks,"We study multi-turn response generation for open-domain dialogues. The existing state-of-
the-art addresses the problem with deep neural architectures. While these models improved …",21회 인용
74,Wizard of search engine: Access to information through conversations with search engines,"Conversational information seeking (CIS) is playing an increasingly important role in
connecting people to information. Due to a lackof suitable resources, previous studies on …",20회 인용
75,[HTML] Moviechats: Chat like humans in a closed domain,"Being able to perform in-depth chat with humans in a closed domain is a precondition before
an open-domain chatbot can be ever claimed. In this work, we take a close look at the movie …",19회 인용
76,: Evaluating Factual Consistency in Knowledge-Grounded Dialogues via Question Generation and Question Answering,"Neural knowledge-grounded generative models for dialogue often produce content that is
factually inconsistent with the knowledge they rely on, making them unreliable and limiting …",21회 인용
77,"Stay hungry, stay focused: Generating informative and specific questions in information-seeking conversations","We investigate the problem of generating informative questions in information-asymmetric
conversations. Unlike previous work on question generation which largely assumes …",20회 인용
78,Are neural open-domain dialog systems robust to speech recognition errors in the dialog history? an empirical study,"Large end-to-end neural open-domain chatbots are becoming increasingly popular.
However, research on building such chatbots has typically assumed that the user input is …",17회 인용
79,Increasing faithfulness in knowledge-grounded dialogue with controllable features,"Knowledge-grounded dialogue systems are intended to convey information that is based on
evidence provided in a given source text. We discuss the challenges of training a generative …",17회 인용
80,Gunrock 2.0: A user adaptive social conversational system,"Gunrock 2.0 is built on top of Gunrock with an emphasis on user adaptation. Gunrock 2.0
combines various neural natural language understanding modules, including named entity …",16회 인용
81,Learning to select external knowledge with multi-scale negative sampling,"The Track-1 of DSTC9 aims to effectively answer user requests or questions during task-
oriented dialogues, which are out of the scope of APIs/DB. By leveraging external …",16회 인용
82,Response-anticipated memory for on-demand knowledge integration in response generation,"Neural conversation models are known to generate appropriate but non-informative
responses in general. A scenario where informativeness can be significantly enhanced is …",16회 인용
83,Just say no: Analyzing the stance of neural dialogue generation in offensive contexts,"Dialogue models trained on human conversations inadvertently learn to generate toxic
responses. In addition to producing explicitly offensive utterances, these models can also …",16회 인용
84,An empirical investigation of pre-trained transformer language models for open-domain dialogue generation,"We present an empirical investigation of pre-trained Transformer-based auto-regressive
language models for the task of open-domain dialogue generation. Training paradigm of pre …",14회 인용
85,Know more about each other: Evolving dialogue strategy via compound assessment,"In this paper, a novel Generation-Evaluation framework is developed for multi-turn
conversations with the objective of letting both participants know more about each other. For …",14회 인용
86,Bot-adversarial dialogue for safe conversational agents,"Conversational agents trained on large unlabeled corpora of human interactions will learn
patterns and mimic behaviors therein, which include offensive or otherwise toxic behavior …",13회 인용
87,Conversations are not flat: Modeling the dynamic information flow across dialogue utterances,"Nowadays, open-domain dialogue models can generate acceptable responses according to
the historical context based on the large-scale pre-trained language models. However, they …",13회 인용
88,Learning to detect relevant contexts and knowledge for response selection in retrieval-based dialogue systems,"Recently, knowledge-grounded conversations in the open domain gain great attention from
researchers. Existing works on retrieval-based dialogue systems have paid tremendous …",14회 인용
89,Multiple knowledge syncretic transformer for natural dialogue generation,"Knowledge is essential for intelligent conversation systems to generate informative
responses. This knowledge comprises a wide range of diverse modalities such as …",14회 인용
90,Studying the effects of cognitive biases in evaluation of conversational agents,"Humans quite frequently interact with conversational agents. The rapid advancement in
generative language modeling through neural networks has helped advance the creation of …",14회 인용
91,Offline and online satisfaction prediction in open-domain conversational systems,"Predicting user satisfaction in conversational systems has become critical, as spoken
conversational assistants operate in increasingly complex domains. Online satisfaction …",13회 인용
92,Enhancing conversational dialogue models with grounded knowledge,"Leveraging external knowledge to enhance conversational models has become a popular
research area in recent years. Compared to vanilla generative models, the knowledge …",12회 인용
93,Towards continual knowledge learning of language models,"Large Language Models (LMs) are known to encode world knowledge in their parameters
as they pretrain on a vast amount of web corpus, which is often utilized for performing …",12회 인용
94,Knowledge-grounded chatbot based on dual wasserstein generative adversarial networks with effective attention mechanisms,"Featured Application Core technology for intelligent virtual assistants. Abstract A
conversation is based on internal knowledge that the participants already know or external …",13회 인용
95,Improving background based conversation with context-aware knowledge pre-selection,"Background Based Conversations (BBCs) have been developed to make dialogue systems
generate more informative and natural responses by leveraging background knowledge …",12회 인용
96,[PDF] Bart for knowledge grounded conversations,"Transformers have shown incredible capabilities for conversation modeling, however, they
store factual knowledge in their learned parameters, which is costly to update with new …",12회 인용
97,TIMEDIAL: Temporal commonsense reasoning in dialog,"Everyday conversations require understanding everyday events, which in turn, requires
understanding temporal commonsense concepts interwoven with those events. Despite …",16회 인용
98,Evaluating groundedness in dialogue systems: The begin benchmark,"Knowledge-grounded dialogue agents are systems designed to conduct a conversation
based on externally provided background information, such as a Wikipedia page. Such …",12회 인용
99,Retrieval-free knowledge-grounded dialogue response generation with adapters,"To diversify and enrich generated dialogue responses, knowledge-grounded dialogue has
been investigated in recent years. The existing methods tackle the knowledge grounding …",14회 인용
100,ALOHA: Artificial learning of human attributes for dialogue agents,"For conversational AI and virtual assistants to communicate with humans in a realistic way,
they must exhibit human characteristics such as expression of emotion and personality …",12회 인용
101,Deploying lifelong open-domain dialogue learning,"Much of NLP research has focused on crowdsourced static datasets and the supervised
learning paradigm of training once and then evaluating test performance. As argued in de …",12회 인용
102,Baleen: Robust multi-hop reasoning at scale via condensed retrieval,"Multi-hop reasoning (ie, reasoning across two or more documents) is a key ingredient for
NLP models that leverage large corpora to exhibit broad knowledge. To retrieve evidence …",11회 인용
103,[HTML] Augmenting knowledge-grounded conversations with sequential knowledge transition,"Abstract Knowledge data are massive and widespread in the real-world, which can serve as
good external sources to enrich conversations. However, in knowledge-grounded …",11회 인용
104,Efficient retrieval augmented generation from unstructured knowledge for task-oriented dialog,"This paper summarizes our work on the first track of the ninth Dialog System Technology
Challenge (DSTC 9),"" Beyond Domain APIs: Task-oriented Conversational Modeling with …",12회 인용
105,Conversational information seeking,"Conversational information seeking (CIS) is concerned with a sequence of interactions
between one or more users and an information system. Interactions in CIS are primarily …",16회 인용
106,[PDF] Challenges in the Evaluation of Conversational Search Systems.,"The area of conversational search has gained significant traction in the IR research
community, motivated by the widespread use of personal assistants. An often researched …",10회 인용
107,Improving conditioning in context-aware sequence to sequence models,"Neural sequence to sequence models are well established for applications which can be
cast as mapping a single input sequence into a single output sequence. In this work, we …",10회 인용
108,Filtering noisy dialogue corpora by connectivity and content relatedness,"Large-scale dialogue datasets have recently become available for training neural dialogue
agents. However, these datasets have been reported to contain a non-negligible number of …",10회 인용
109,Joint retrieval and generation training for grounded text generation,"Recent advances in large-scale pre-training such as GPT-3 allow seemingly high quality text
to be generated from a given prompt. However, such generation systems often suffer from …",11회 인용
110,Commonsense-Focused Dialogues for Response Generation: An Empirical Study,"Smooth and effective communication requires the ability to perform latent or explicit
commonsense inference. Prior commonsense reasoning benchmarks (such as SocialIQA …",10회 인용
111,Naturalconv: A chinese dialogue dataset towards multi-turn topic-driven conversation,"In this paper, we propose a Chinese multi-turn topic-driven conversation dataset,
NaturalConv, which allows the participants to chat anything they want as long as any …",13회 인용
112,OTTers: One-turn topic transitions for open-domain dialogue,"Mixed initiative in open-domain dialogue requires a system to pro-actively introduce new
topics. The one-turn topic transition task explores how a system connects two topics in a …",11회 인용
113,A large-scale analysis of mixed initiative in information-seeking dialogues for conversational search,"Conversational search is a relatively young area of research that aims at automating an
information-seeking dialogue. In this article, we help to position it with respect to other …",11회 인용
114,An analysis of mixed initiative and collaboration in information-seeking dialogues,"The ability to engage in mixed-initiative interaction is one of the core requirements for a
conversational search system. How to achieve this is poorly understood. We propose a set …",9회 인용
115,Highly parallel autoregressive entity linking with discriminative correction,"Generative approaches have been recently shown to be effective for both Entity
Disambiguation and Entity Linking (ie, joint mention detection and disambiguation) …",12회 인용
116,"Phrase retrieval learns passage retrieval, too","Dense retrieval methods have shown great promise over sparse retrieval methods in a
range of NLP problems. Among them, dense phrase retrieval-the most fine-grained retrieval …",11회 인용
117,Focused Attention Improves Document-Grounded Generation,"Document grounded generation is the task of using the information provided in a document
to improve text generation. This work focuses on two different document grounded …",10회 인용
118,Dialfact: A benchmark for fact-checking in dialogue,"Fact-checking is an essential tool to mitigate the spread of misinformation and
disinformation, however, it has been often explored to verify formal single-sentence claims …",9회 인용
119,[PDF] Enhancing dialog coherence with event graph grounded content planning,"How to generate informative, coherent and sustainable open-domain conversations is a non-
trivial task. Previous work on knowledge grounded conversation generation focus on …",9회 인용
120,Difference-aware knowledge selection for knowledge-grounded conversation generation,"In a multi-turn knowledge-grounded dialog, the difference between the knowledge selected
at different turns usually provides potential clues to knowledge selection, which has been …",12회 인용
121,"Compression, transduction, and creation: A unified framework for evaluating natural language generation","Natural language generation (NLG) spans a broad range of tasks, each of which serves for
specific objectives and desires different properties of generated text. The complexity makes …",11회 인용
122,Semantic representation for dialogue modeling,"Although neural models have achieved competitive results in dialogue systems, they have
shown limited ability in representing core semantics, such as ignoring important entities. To …",10회 인용
123,Hindsight: Posterior-guided training of retrievers for improved open-ended generation,"Many text generation systems benefit from using a retriever to retrieve passages from a
textual knowledge corpus (eg, Wikipedia) which are then provided as additional context to …",10회 인용
124,Eva: An open-domain chinese dialogue system with large-scale generative pre-training,"Although pre-trained language models have remarkably enhanced the generation ability of
dialogue systems, open-domain Chinese dialogue systems are still limited by the dialogue …",10회 인용
125,Beyond domain apis: Task-oriented conversational modeling with unstructured knowledge access track in dstc9,"Most prior work on task-oriented dialogue systems are restricted to a limited coverage of
domain APIs, while users oftentimes have domain related requests that are not covered by …",8회 인용
126,[HTML] Interview: Large-scale modeling of media dialog with discourse patterns and knowledge grounding,"In this work, we perform the first large-scale analysis of discourse in media dialog and its
impact on generative modeling of dialog turns, with a focus on interrogative patterns and use …",9회 인용
127,Pretrained language models for dialogue generation with multiple input sources,"Large-scale pretrained language models have achieved outstanding performance on
natural language understanding tasks. However, it is still under investigating how to apply …",10회 인용
128,Conversational semantic role labeling,"Semantic role labeling (SRL) aims to extract the arguments for each predicate in an input
sentence. Traditional SRL can fail to analyze dialogues because it only works on every …",10회 인용
129,[PDF] Knowledge-Aware Dialogue Generation via Hierarchical Infobox Accessing and Infobox-Dialogue Interaction Graph Network.,"Due to limited knowledge carried by queries, traditional dialogue systems often face the
dilemma of generating boring responses, leading to poor user experience. To alleviate this …",8회 인용
130,Multi-Modal Open-Domain Dialogue,"Recent work in open-domain conversational agents has demonstrated that significant
improvements in model engagingness and humanness metrics can be achieved via …",13회 인용
131,Towards empathetic dialogue generation over multi-type knowledge,"Enabling the machines with empathetic abilities to provide context-consistent responses is
crucial on both semantic and emotional levels. The task of empathetic dialogue generation …",8회 인용
132,Response quality in human-chatbot collaborative systems,"We report the results of a crowdsourcing user study for evaluating the effectiveness of
human-chatbot collaborative conversation systems, which aim to extend the ability of a …",8회 인용
133,Fluent response generation for conversational question answering,"Question answering (QA) is an important aspect of open-domain conversational agents,
garnering specific research focus in the conversational QA (ConvQA) subtask. One notable …",9회 인용
134,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,"Beyond the common difficulties faced in task-oriented dialogue system, medical dialogue
has recently attracted increasing attention due to its huge application potential while posing …",8회 인용
135,Keyword-guided neural conversational model,"We study the problem of imposing conversational goals/keywords on open-domain
conversational agents, where the agent is required to lead the conversation to a target …",7회 인용
136,Meta-evaluation of conversational search evaluation metrics,"Conversational search systems, such as Google assistant and Microsoft Cortana, enable
users to interact with search systems in multiple rounds through natural language dialogues …",7회 인용
137,XPersona: Evaluating multilingual personalized chatbot,"Personalized dialogue systems are an essential step toward better human-machine
interaction. Existing personalized dialogue agents rely on properly designed conversational …",9회 인용
138,The Web Is Your Oyster--Knowledge-Intensive NLP against a Very Large Web Corpus,"In order to address the increasing demands of real-world applications, the research for
knowledge-intensive NLP (KI-NLP) should advance by capturing the challenges of a truly …",9회 인용
139,A corpus of controlled opinionated and knowledgeable movie discussions for training neural conversation models,"Fully data driven Chatbots for non-goal oriented dialogues are known to suffer from
inconsistent behaviour across their turns, stemming from a general difficulty in controlling …",8회 인용
140,Learning to copy coherent knowledge for response generation,"Abstract Knowledge-driven dialog has shown remarkable performance to alleviate the
problem of generating uninformative responses in the dialog system. However …",7회 인용
141,Conditional text generation for harmonious human-machine interaction,"In recent years, with the development of deep learning, text-generation technology has
undergone great changes and provided many kinds of services for human beings, such as …",10회 인용
142,Conversations Powered by Cross-Lingual Knowledge,"Today's open-domain conversational agents increase the informativeness of generated
responses by leveraging external knowledge. Most of the existing approaches work only for …",7회 인용
143,Lost in conversation: A conversational agent based on the transformer and transfer learning,"State of the art in dialogue and conversational models is currently being attained with
generative approaches. In this work, we present our winning solution for the ConvAI2 …",6회 인용
144,Open domain dialogue generation with latent images,"We consider grounding open domain dialogues with images. Existing work assumes that
both an image and a textual context are available, but image-grounded dialogues by nature …",6회 인용
145,I love your chain mail! Making knights smile in a fantasy game world: Open-domain goal-oriented dialogue agents,"Dialogue research tends to distinguish between chit-chat and goal-oriented tasks. While the
former is arguably more naturalistic and has a wider use of language, the latter has clearer …",6회 인용
146,Multi-task learning of generation and classification for emotion-aware dialogue response generation,"For a computer to naturally interact with a human, it needs to be human-like. In this paper,
we propose a neural response generation model with multi-task learning of generation and …",6회 인용
147,Sketch-Fill-AR: A persona-grounded chit-chat generation framework,"Human-like chit-chat conversation requires agents to generate responses that are fluent,
engaging and consistent. We propose Sketch-Fill-AR, a framework that uses a persona …",7회 인용
148,[PDF] A Survey on Response Selection for Retrieval-based Dialogues.,"Building an intelligent dialogue system capable of naturally and coherently conversing with
humans has been a long-standing goal of artificial intelligence. In the past decade, with the …",7회 인용
149,The adapter-bot: All-in-one controllable conversational model,"Considerable progress has been made towards conversational models that generate
coherent and fluent responses by training large language models on large dialogue …",6회 인용
150,Text editing by command,"A prevailing paradigm in neural text generation is one-shot generation, where text is
produced in a single step. The one-shot setting is inadequate, however, when the …",6회 인용
151,[PDF] Dream technical report for the alexa prize 2019,"Building a dialogue system able to talk fluently and meaningfully in an open domain
conversation is one of the foundational challenges in the field of AI. Recent progress in NLP …",6회 인용
152,A simple and efficient multi-task learning approach for conditioned dialogue generation,"Conditioned dialogue generation suffers from the scarcity of labeled responses. In this work,
we exploit labeled non-dialogue text data related to the condition, which are much easier to …",6회 인용
153,[HTML] Approximation of response knowledge retrieval in knowledge-grounded dialogue generation,"This paper is concerned with improving dialogue generation models through injection of
knowledge, eg, content relevant to the post that can increase the quality of responses. Past …",5회 인용
154,Initiative-Aware Self-Supervised Learning for Knowledge-Grounded Conversations,"In the knowledge-grounded conversation (KGC) task systems aim to produce more
informative responses by leveraging external knowledge. KGC includes a vital part …",6회 인용
155,Rome was built in 1776: A case study on factual correctness in knowledge-grounded response generation,"Recently neural response generation models have leveraged large pre-trained transformer
models and knowledge snippets to generate relevant and informative responses. However …",5회 인용
156,A Multi-Persona Chatbot for Hotline Counselor Training,"Suicide prevention hotline counselors aid individuals during difficult times through millions
of calls and chats. A chatbot cannot safely replace a counselor, but we explore whether a …",5회 인용
157,HKA: A hierarchical knowledge attention mechanism for multi-turn dialogue system,"Generating informative responses by incorporating external knowledge into dialogue system
attracts more and more attention. Most previous works facilitate single-turn dialogue system …",5회 인용
